,Program_Description,Function_Description,Fund_Description,Location_Description,total_budget,total_fte,num_records
266,Accelerated Education,Other,Title Iv Part A Safe & Drug Free Schools,Administration - No Description Provided,0.09000000000000002,0.0,4
267,Accelerated Education,Plant Maintenance & Operations, Century Community Learning,School ,29570.112999999998,0.0,16
268,Accelerated Education,Plant Maintenance & Operations,English Literacy Civics,School ,0.72,0.0,1
269,Accelerated Education,Plant Maintenance & Operations,General Fund,County Day School,1500.92,0.0,1
270,Accelerated Education,Plant Maintenance & Operations,General Fund,Program ABC,0.2,0.0,1
271,Accelerated Education,Plant Maintenance & Operations,General Fund,School ,0.31,0.0,1
272,Accelerated Education,Plant Maintenance & Operations,General Fund,"School, Family and Community Education",-0.53,0.0,1
273,Accelerated Education,Plant Maintenance & Operations,General Fund,Summer School,61283.97539122999,0.0,10
274,Accelerated Education,School Leadership,"""Title  Part A Improving Basic Programs""",School ,2773.42,0.0,2
275,Accelerated Education,School Leadership,"""Title  Part A Improving Basic Programs""",Undistributed,2240.36,0.0,1
276,Accelerated Education,School Leadership,"ESEA, Title II, Part A - Teacher and Principal Training and Recruiting",ABD,4596.36,0.0,2
277,Accelerated Education,School Leadership,"ESEA, Title II, Part A - Teacher and Principal Training and Recruiting",School ,50553.61,0.0,22
278,Accelerated Education,School Leadership,Esea Title Ii Part A Teacher & Principal Training,School ,4754.16,0.0,2
279,Accelerated Education,School Leadership,Esea Title Ii Part A Teacher & Principal Training,Undistributed,55158.01,0.0,3
280,Accelerated Education,School Leadership,General Fund,County Day School,668.8225105189999,0.0,1
281,Accelerated Education,School Leadership,General Fund,County Detention Center,37692.39552117001,1.0,3
282,Accelerated Education,School Leadership,General Fund,Graduation Pathways,-0.3,0.0,2
283,Accelerated Education,School Leadership,General Fund,Hospital,-0.82,0.0,1
284,Accelerated Education,School Leadership,General Fund,House,37885.495601359995,1.0,2
285,Accelerated Education,School Leadership,General Fund,Leadership Academy,36639.04171582,1.0,3
286,Accelerated Education,School Leadership,General Fund,Prekindergarten Demonstration School,186836.08976791397,2.0,8
287,Accelerated Education,School Leadership,General Fund,School ,670423.070449956,7.0,67
288,Accelerated Education,School Leadership,General Fund,Summer School,206227.50581415,0.0,19
289,Accelerated Education,School Leadership,Intensive Reading Instruction Initiative Grant,School ,2205.17,0.0,1
290,Accelerated Education,School Leadership,Smaller Learning Communities ,School ,80284.4670957,1.0,1
291,Accelerated Education,School Leadership,Title I- Part D ,County Day School,0.24,0.0,2
292,Accelerated Education,School Leadership,Title I- Part D ,County Detention Center,-0.22,0.0,2
293,Accelerated Education,School Leadership,Title I- Part D ,House,0.35,0.0,1
294,Accelerated Education,School Leadership,Title I- Part D ,Leadership Academy,1.06,0.0,2
295,COMMUNITY SERVICE,NON-PROJECT,,ALTERNATIVE ED / CONSTITUENCY,29660.5085976,0.58291399841,5
296,COMMUNITY SERVICE,NON-PROJECT,,DISTRICT COMMUNITY RELATIONS,10273.10773245,0.201662426614,3
297,COMMUNITY SERVICE,NON-PROJECT,,,8346.19034527,0.1775881606466,8
298,COMMUNITY SERVICE,Other,,ALL SCHOOLS-UNDISTRIBUTED,53185.73579665,1.545037363773,32
299,COMMUNITY SERVICE,Other,,ALTERNATIVE ED / CONSTITUENCY,287413.69119994,3.3124217732345,75
300,COMMUNITY SERVICE,Other,,COMMUNITY EDUCATION,1667198.5447902537,37.77269423443312,331
301,COMMUNITY SERVICE,Other,,COMMUNITY USE OF FACILITIES,335399.72107616,4.0123165179676,132
302,COMMUNITY SERVICE,Other,,DISTRICT COMMUNITY RELATIONS,640435.576127706,4.46124880377503,145
303,COMMUNITY SERVICE,Other,,EARLY CHILDHOOD EDUCATION,250455.74346773,3.213839531612,59
304,COMMUNITY SERVICE,Other,,ED RESOURCE SERVICES,21599.97,0.0,1
305,COMMUNITY SERVICE,Other,,FEDERAL PROGRAMS/EXTERNAL RESO,47704.2809299,1.141304988117,8
306,COMMUNITY SERVICE,Other,,ITEMGH ELEMENTARY,24.95,0.0,1
307,COMMUNITY SERVICE,Other,,SCHOOL CHOICE,90778.2251415,0.5,7
308,COMMUNITY SERVICE,Other,,SCHOOL/COMMUNITY PARTNERSHIPS,114999.39,0.0,1
309,COMMUNITY SERVICE,Other,,SPECIAL EDUCATION,129176.6702526,2.396010495724,20
310,COMMUNITY SERVICE,Other,,TEACHER EFFECTIVENESS,9116.792070819998,0.0806451612903,4
311,COMMUNITY SERVICE,Other,,,2336110.763533695,77.38959806892314,791
312,COMMUNITY SERVICE,TITLE I,,ALTERNATIVE ED / CONSTITUENCY,167288.4900381,0.886231667948,12
313,COMMUNITY SERVICE,TITLE I,,CHARTER SCHOOL,2300.69,0.0,1
314,COMMUNITY SERVICE,TITLE I,,COMMUNITY ,6253.0199999999995,0.0,2
315,COMMUNITY SERVICE,TITLE I,,ENVISION SCHOOLS COLORADO HS,1057.95,0.0,1
316,COMMUNITY SERVICE,TITLE I,,FEDERAL PROG-PRIVATE SCHOOL,498.16999999999996,0.0,2
317,COMMUNITY SERVICE,TITLE I,,FEDERAL PROG-PRIVATE SCHOOLS,2073.03,0.0,4
318,COMMUNITY SERVICE,TITLE I,,FEDERAL PROGRAMS/EXTERNAL RESO,33586.3709126081,0.2199315775646598,56
319,COMMUNITY SERVICE,TITLE I,,LEARNING PARTNERSHIP,795.53,0.0,3
320,COMMUNITY SERVICE,TITLE I,,TITLE I - EDUCATIONAL OUTREACH,179024.2067513,3.273497108929,19
321,COMMUNITY SERVICE,TITLE I,,,313637.1847761915,3.22932177018144,295
322,COMMUNITY SERVICE,TITLE I A - ARRA,,ALTERNATIVE ED / CONSTITUENCY,341104.46025909996,6.0694781914179,52
323,COMMUNITY SERVICE,TITLE I A - ARRA,,CHARTER SCHOOL,1200.61,0.0,1
324,COMMUNITY SERVICE,TITLE I A - ARRA,,COMMUNITY ,1200.28,0.0,1
325,COMMUNITY SERVICE,TITLE I A - ARRA,,ENVISION SCHOOLS COLORADO HS,411.63,0.0,1
326,COMMUNITY SERVICE,TITLE I A - ARRA,,FEDERAL PROG-PRIVATE SCHOOL,150.39,0.0,1
327,COMMUNITY SERVICE,TITLE I A - ARRA,,FEDERAL PROGRAMS/EXTERNAL RESO,20974.690000000002,0.0,7
328,COMMUNITY SERVICE,TITLE I A - ARRA,,LEARNING PARTNERSHIP,475.5,0.0,2
329,COMMUNITY SERVICE,TITLE I A - ARRA,,TITLE I - EDUCATIONAL OUTREACH,43714.381277,0.8199995107629999,4
330,COMMUNITY SERVICE,TITLE I A - ARRA,,,64979.4476654427,0.81725762599055,95
331,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,ACCOUNTS PAYABLE,4073.0300000000007,0.0,9
332,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,ADMISSIONS AND STUDENT RECORDS,8226.03,0.0,18
333,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,ALL SCHOOLS-UNDISTRIBUTED,14091.960000000001,0.0,54
334,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,ALTERNATIVE ED / CONSTITUENCY,9022.59,0.0,16
335,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,ASSESSMENT & RESEARCH,19043.3,0.0,62
336,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,ATHLETICS & STUDENT ACTIVITIES,10414.13,0.0,126
337,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,BOARD OF EDUCATION,673.5999999999998,0.0,1
338,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,BUDGETARY SERVICES,18976.04,0.0,30
339,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,CHARTER SCHOOL,1351.7,0.0,5
340,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,CHIEF ACADEMIC OFFICER,9805.99,0.0,8
341,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,CHIEF OPERATING OFFICER,33057.24,0.0,44
342,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,COMMUNITY EDUCATION,11412.26,0.0,40
343,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,COMMUNITY USE OF FACILITIES,2037.53,0.0,4
344,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,CONSTRUCTION SERVICES,43278.45,0.0,71
345,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,CUSTOMER RELATIONS MANAGEMENT,22634.98,0.0,30
346,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,DISBURSING,1956.73,0.0,4
347,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,DISTRICT COMMUNITY RELATIONS,8611.39,0.0,30
348,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,DISTRICT WIDE ORGANIZATION UNI,1283.93,0.0,20
349,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,EARLY CHILDHOOD EDUCATION,20881.21,0.0,71
350,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,EAST PREP KITCHEN,634.31,0.0,1
351,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,ED RESOURCE SERVICES,8909.789999999999,0.0,19
352,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,EDUCATIONAL SERVICES,321.5200000000001,0.0,1
353,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,ELEMENTARY EDUCATION,86742.56,0.0,116
354,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,EMPLOYEE BENEFITS,5943.15,0.0,9
355,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,ENGLISH FOR SPEAKERS OF OTHER,9114.1,0.0,14
356,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,ENTERPRISE PRODUCT MANAGEMENT,3693.4100000000003,0.0,4
357,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,ES TEAM ,38960.41,0.0,90
358,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,FACILITY SERVICES,9696.98,0.0,14
359,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,FEDERAL PROG-DELINQ INSTITUT,955.76,0.0,1
360,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,FEDERAL PROG-INSTITUTIONS NEG,1846.52,0.0,3
361,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,FEDERAL PROG-PRIVATE SCHOOL,5156.1900000000005,0.0,14
362,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,FEDERAL PROG-PRIVATE SCHOOLS,1270.91,0.0,7
363,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,FEDERAL PROGRAMS/EXTERNAL RESO,15726.44,0.0,25
364,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,FOOD AND NUTRITION SERVICES,28279.03,0.0,78
365,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,GARAGE,68291.81,0.0,273
366,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,GED-GRADUATION EQUIVALENT DIPL,157.95999999999998,0.0,2
367,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,GENERAL LEDGER ACCOUNTING,10380.13,0.0,18
368,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,GIFTED AND TALENTED,14841.49,0.0,31
369,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,HIGH SCHOOL EDUCATION,6337.679999999999,0.0,33
370,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,HS TEAM ,7117.349999999999,0.0,7
371,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,HUMAN RESOURCES,39373.01,0.0,102
372,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,HUMANITIES,11488.42,0.0,35
373,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,INSTRUCTIONAL NETWORKS,695.4300000000001,0.0,2
374,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,INTENTIONAL SCHOOL CULTURE,2100.4300000000003,0.0,2
375,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,INTERDISCIPLINARY,4932.7,0.0,12
376,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,INTERNAL AUDITOR,2953.46,0.0,4
377,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,IST - SYSTEMS SUPPORT,40088.65,0.0,42
378,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,ITEMGA OUTDOOR EDUCATION,4022.53,0.0,12
379,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,ITEMGH ELEMENTARY,660.39,0.0,2
380,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,"KIDS, INC",5133.06,0.0,7
381,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,LEADERSHIP DEVELOPMENT,12731.7,0.0,18
382,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,MAINTENANCE,79949.74,0.0,179
383,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,MANUAL COMPLEX,1896.8300000000002,0.0,7
384,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,MATERIALS MANAGEMENT,5992.05,0.0,11
385,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,MATH / SCIENCE,11264.31,0.0,16
386,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,MIDDLE SCHOOL EDUCATION,5153.87,0.0,32
387,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,MILITARY SCIENCE EDUCATION,3894.53,0.0,5
388,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,MS TEAM ,10890.76,0.0,10
389,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,MULTILINGUAL OUTREACH,4295.389999999999,0.0,17
390,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,NIGHT HS,1018.73,0.0,11
391,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,ONLINE SCHOOL,6015.2,0.0,7
392,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,OPERATIONS,3838.2499999999995,0.0,7
393,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,OPPORTUNITY SCHOOL,106950.58,0.0,375
394,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,PAYROLL,8283.65,0.0,21
395,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,PERSONNEL-PAID LEAVE,21848.62,0.0,41
396,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,PLANNING AND INNOVATION,5676.45,0.0,11
397,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,PSYCHOLOGICAL SERVICES,20072.83,0.0,31
398,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,PUBLIC INFORMATION AND SERVICE,5686.22,0.0,9
399,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,REGISTRAR,3827.2,0.0,15
400,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,SAFETY AND SECURITY,23844.07,0.0,52
401,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,SCHOOL ATTORNEY,5756.170000000001,0.0,6
402,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,SCHOOL CHOICE,11186.5,0.0,17
403,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,SCHOOL NURSE SERVICES,23165.25,0.0,50
404,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,SCHOOL/COMMUNITY PARTNERSHIPS,1786.5,0.0,3
405,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,SECONDARY PATHWAYS,9401.12,0.0,14
406,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,SERVICE BUILDING,836.64,0.0,4
407,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,SOCIAL WORK SERVICES,20140.67,0.0,28
408,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,SPECIAL EDUCATION,213053.26,0.0,317
409,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,STRATEGY OFFICE,7641.91,0.0,13
410,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,SUMMER SCHOOL - ELEMENTARY SCH,2179.8,0.0,4
411,EMPLOYEE BENEFITS,EMPLOYEE RETIREMENT,,SUMMER SCHOOL - HIGH SCHOOLS,2592.76,0.0,5
